StudioTestName	ParticipantName	[Gender]Value	RecordingName	RecordingDate	RecordingDuration	MediaName	RecordingTimestamp	LocalTimeStamp	StudioEvent	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	AOI[Rectangle]Hit	AOI[Rectangle 2]Hit	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	PupilLeft	PupilRight	ValidityLeft	ValidityRight	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		117	16:19:06.836										1	1007	712	931	639	969	675	2.68	2.48	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		134	16:19:06.853		1		Fixation	150					2	937	536	857	540	897	538	2.53	2.42	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		151	16:19:06.870		1		Fixation	150					3	998	733	912	650	955	691	2.71	2.63	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		167	16:19:06.886		1		Fixation	150					4	913	526	940	657	926	591	2.70	2.77	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		184	16:19:06.903		1		Fixation	150					5	926	550	916	642	921	596	2.56	2.69	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		201	16:19:06.920		1		Fixation	150					6	940	551	952	630	946	590	2.60	2.69	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		217	16:19:06.936		1		Fixation	150					7	911	542	879	568	895	555	2.72	2.51	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		234	16:19:06.953		1		Fixation	150					8	920	533	918	624	919	578	2.64	2.61	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		250	16:19:06.970		1		Fixation	150					9	912	552	869	572	890	562	2.45	2.55	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		267	16:19:06.986		1		Fixation	150					10	924	568	903	591	913	579	2.60	2.56	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		284	16:19:07.003		1		Fixation	150					11									4	4	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		300	16:19:07.019		2		Fixation	150					12									4	4	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		317	16:19:07.036		2		Fixation	150					13	940	482	916	494	928	488	2.44	2.42	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		333	16:19:07.052		2		Fixation	150					14	949	550	908	488	928	519	2.52	2.50	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		350	16:19:07.069		2		Fixation	150					15	948	505	900	515	924	510	2.57	2.46	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		367	16:19:07.086		2		Fixation	150					16	941	518	923	485	932	501	2.51	2.37	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		383	16:19:07.102		2		Fixation	150					17	947	504	902	485	924	494	2.43	2.42	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		400	16:19:07.119		2		Fixation	150					18	953	530	921	463	937	496	2.44	2.38	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		417	16:19:07.136		2		Fixation	150					19	1009	485	953	504	981	494	2.48	2.38	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		433	16:19:07.152		2		Fixation	150					20	1169	442	1145	486	1157	464	2.59	2.46	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		450	16:19:07.169		3		Fixation	283					21	1348	502	1334	505	1341	503	2.53	2.48	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		467	16:19:07.186		3		Fixation	283					22	1432	537	1405	506	1418	521	2.67	2.46	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		483	16:19:07.202		3		Fixation	283					23	1472	621	1436	564	1454	592	2.57	2.55	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		500	16:19:07.219		3		Fixation	283					24	1460	497	1408	525	1434	511	2.48	2.74	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		517	16:19:07.236		3		Fixation	283					25			1407	524	1407	524		2.77	4	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		533	16:19:07.252		3		Fixation	283					26	1433	450	1456	508	1444	479	2.59	2.65	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		550	16:19:07.269		3		Fixation	283					27	1439	461	1387	512	1413	486	2.66	2.59	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		566	16:19:07.286		3		Fixation	283					28	1449	494	1404	511	1426	502	2.66	2.60	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		583	16:19:07.302		3		Fixation	283					29	1410	548	1358	552	1384	550	2.67	2.48	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		600	16:19:07.319		3		Fixation	283					30	1406	529	1376	537	1391	533	2.59	2.76	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		616	16:19:07.336		3		Fixation	283					31	1411	494	1414	495	1412	494	2.52	2.51	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		633	16:19:07.352		3		Fixation	283					32	1415	491	1399	479	1407	485	2.47	2.50	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		650	16:19:07.369		3		Fixation	283					33	1472	499	1434	492	1453	495	2.49	2.49	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		666	16:19:07.386		3		Fixation	283					34	1413	549	1390	464	1401	506	2.38	2.64	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		683	16:19:07.402		3		Fixation	283					35	1385	517	1385	526	1385	521	2.51	2.64	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		700	16:19:07.419		3		Fixation	283					36	1439	492	1388	554	1413	523	2.53	2.63	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		716	16:19:07.436		3		Fixation	283					37	1198	524	1174	554	1186	539	2.55	2.51	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		733	16:19:07.452		4		Fixation	816					38	1021	544	941	573	981	558	2.64	2.50	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		750	16:19:07.469		4		Fixation	816					39	1012	502	914	566	963	534	2.59	2.53	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		766	16:19:07.486		4		Fixation	816					40	988	517	964	578	976	547	2.55	2.75	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		783	16:19:07.502		4		Fixation	816					41	990	547	930	550	960	548	2.58	2.48	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		800	16:19:07.519		4		Fixation	816					42	994	551	945	556	969	553	2.60	2.61	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		816	16:19:07.535		4		Fixation	816					43	1014	572	932	556	973	564	2.62	2.53	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		833	16:19:07.552		4		Fixation	816					44	1004	547	898	561	951	554	2.58	2.55	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		850	16:19:07.569		4		Fixation	816					45	1031	555	908	615	969	585	2.53	2.49	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		866	16:19:07.585		4		Fixation	816					46	974	495	918	517	946	506	2.54	2.39	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		883	16:19:07.602		4		Fixation	816					47	1022	550	954	613	988	581	2.58	2.57	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		900	16:19:07.619		4		Fixation	816					48			932	575	932	575		2.51	4	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		916	16:19:07.635		4		Fixation	816					49	931	550	991	629	961	589	2.37	2.69	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		933	16:19:07.652		4		Fixation	816					50	959	527	951	622	955	574	2.51	2.76	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		950	16:19:07.669		4		Fixation	816					51	1041	587	959	539	1000	563	2.57	2.62	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		966	16:19:07.685		4		Fixation	816					52	1015	581	947	658	981	619	2.54	2.59	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		983	16:19:07.702		4		Fixation	816					53	1016	546	962	577	989	561	2.58	2.64	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		999	16:19:07.719		4		Fixation	816					54			970	594	970	594		2.56	4	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1016	16:19:07.735		4		Fixation	816					55	1021	564	996	625	1008	594	2.67	2.49	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1033	16:19:07.752		4		Fixation	816					56	1042	520	981	583	1011	551	2.60	2.65	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1049	16:19:07.769		4		Fixation	816					57	967	573	954	494	960	533	2.49	2.58	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1066	16:19:07.785		4		Fixation	816					58	997	554	936	534	966	544	2.48	2.52	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1083	16:19:07.802		4		Fixation	816					59	1014	585	973	598	993	591	2.57	2.66	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1099	16:19:07.818		4		Fixation	816					60	996	586	963	555	979	570	2.58	2.61	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1116	16:19:07.835		4		Fixation	816					61	1004	590	975	539	989	564	2.53	2.58	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1133	16:19:07.852		4		Fixation	816					62	983	458	959	556	971	507	2.57	2.63	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1149	16:19:07.868		4		Fixation	816					63	977	526	979	554	978	540	2.58	2.74	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1166	16:19:07.885		4		Fixation	816					64	1004	561	973	559	988	560	2.44	2.72	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1183	16:19:07.902		4		Fixation	816					65	981	546	941	462	961	504	2.38	2.54	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1199	16:19:07.918		4		Fixation	816					66	989	574	993	687	991	630	2.63	2.67	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1216	16:19:07.935		4		Fixation	816					67	1030	526	924	563	977	544	2.59	2.64	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1233	16:19:07.952		4		Fixation	816					68	988	581	960	586	974	583	2.47	2.69	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1249	16:19:07.968		4		Fixation	816					69	1023	500	958	552	990	526	2.49	2.55	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1266	16:19:07.985		4		Fixation	816					70	1002	567	956	598	979	582	2.57	2.70	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1283	16:19:08.002		4		Fixation	816					71	941	506	961	600	951	553	2.56	2.62	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1299	16:19:08.018		4		Fixation	816					72	981	538	938	510	959	524	2.55	2.61	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1316	16:19:08.035		4		Fixation	816					73	978	569	972	605	975	587	2.56	2.85	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1333	16:19:08.052		4		Fixation	816					74	968	492	958	573	963	532	2.60	2.80	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1349	16:19:08.068		4		Fixation	816					75	983	579	977	542	980	560	2.62	2.64	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1366	16:19:08.085		4		Fixation	816					76	1010	529	960	540	985	534	2.66	2.73	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1383	16:19:08.102		4		Fixation	816					77	1005	575	939	583	972	579	2.63	2.60	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1399	16:19:08.118		4		Fixation	816					78	991	559	945	558	968	558	2.59	2.62	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1416	16:19:08.135		4		Fixation	816					79	985	552	944	554	964	553	2.72	2.65	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1432	16:19:08.152		4		Fixation	816					80	995	618	987	630	991	624	2.59	2.79	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1449	16:19:08.168		4		Fixation	816					81	978	530	953	600	965	565	2.57	2.84	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1466	16:19:08.185		4		Fixation	816					82	974	500	951	542	962	521	2.57	2.69	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1482	16:19:08.202		4		Fixation	816					83	1004	553	944	538	974	545	2.67	2.86	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1499	16:19:08.218		4		Fixation	816					84	1029	524	963	598	996	561	2.68	2.86	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1516	16:19:08.235		4		Fixation	816					85	996	516	950	503	973	509	2.65	2.93	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1532	16:19:08.252		4		Fixation	816					86	977	489	942	621	959	555	2.76	2.85	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1549	16:19:08.268		5		Fixation	666					87	1017	583	983	628	1000	605	2.64	2.90	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1566	16:19:08.285		5		Fixation	666					88	995	565	927	561	961	563	2.73	2.70	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1582	16:19:08.302		5		Fixation	666					89	997	692	996	608	996	650	2.70	2.91	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1599	16:19:08.318		5		Fixation	666					90	1015	597	979	649	997	623	2.79	2.94	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1616	16:19:08.335		5		Fixation	666					91	976	515	947	558	961	536	2.88	2.83	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1632	16:19:08.351		5		Fixation	666					92	1019	560	1001	562	1010	561	2.79	2.83	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1649	16:19:08.368		5		Fixation	666					93	986	541	950	629	968	585	2.67	2.92	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1666	16:19:08.385		5		Fixation	666					94	1028	663	924	587	976	625	2.98	2.79	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1682	16:19:08.401		5		Fixation	666					95	994	539	884	551	939	545	2.78	2.73	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1699	16:19:08.418		5		Fixation	666					96	1011	560	958	564	984	562	2.99	2.99	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1716	16:19:08.435		5		Fixation	666					97	1004	560	943	574	973	567	2.99	2.83	0	0	
Informative A	ANCAT122	F	ANCAT122	9/13/2012	311781		1732	16:19:08.451		5		Fixation	666					98	947	567	943	495	945	531	2.73	2.71	0	0	
